ID,NAME,E_NAME,TVAL,SVAL,PVAL,AP_RATE,DEPTH,RARITY,WEIGHT,COST,SIZE_LOWER,SIZE_UPPER,BASE_AC,BASE_EV,BASE_DAMAGE,PLUS_HIT,PLUS_DAM,PLUS_AC,PLUS_EV,FLAGS,ADD_CREATURE_TRAITS,DESCRIPTION,E_DESCRIPTION,COMMENT
1,ガラドリエルの,of Galadriel,39,4,1,100,30,1,10,10000,0,0,0,0,1d1,0,0,0,0,ACTIVATE|SEARCH|INSTA_ART,,小さな水晶の瓶で、ガラドリエルの泉に映ったエアレンディルの星(シルマリル)の光が閉じ込めてある。その不滅の光はあらゆる暗闇を追い払う。,"A small crystal phial, with the light of Earendil's Star contained inside.  Its light is imperishable, and near it darkness cannot endure.","# File: a_info.txt#JZ# Zangband 日本語訳: 板倉#JZ# 「#J0#」で始まるコメントは日本語板 Angband のしとしんさんによる#JZ# もので、「#JZ#」で始まるコメントは日本語版 Zangband で新たに#JZ# 加わった項目です。日本語アングバンド同様、私（板倉）以外の方の#JZ# コメントにはその方の名前を記載しています。#JZ##JZ# ＃＃＃ 以下は日本語版 Angband にあるコメントです ＃＃＃#J0# 日本語訳と日本語版製作 : しとしん#J0##J0# 日本語版ではオリジナルと比較して設定項目が一つ増えています。#J0##J0##J0# 翻訳に際してなるべく資料を確認するようにしました。#J0# p.--  とあるのは「トールキン指輪物語辞典」でのページ数、#J0# wp. --とあるのは「新訳指輪物語追補編」でのページ数をあらわします。#J0# Ko -- とあるのは小林健一さんに教えてもらったものです。#J0# ??? --とあるのは調べがつかなかったものです。#J0##J0# 伝説のアイテムの翻訳に関しては 都々目さとし さんに大変お世話になりました。#J0##J0# 所々にあるコメントは 小林 さんと 都々目さとし さんのものです。かっこ内に発#J0# 言者を記載しました。#J0##J0#「コメント」で検索できます。#J0##J0# (ゲーム中での画面出力)#J0##J0# 『』で囲まれた名前はアイテム名の後につきます。#J0#      ex) スモール・ソード『つらぬき丸』#J0#                         ~~~~~~~~~~~~~~#J0# それ以外はアイテム名の前につきます。#J0#      ex) スラインのアーケン石#J0#          ~~~~~~~~~~# This file is used to initialize the ""lib/raw/a_info.raw"" file, which# is used to initialize the ""artifact"" information for the Angband game.# Do not modify this file unless you know exactly what you are doing,# unless you wish to risk possible system crashes and broken savefiles.# After modifying this file, delete the ""lib/raw/a_info.raw"" file.# The artifact indexes are defined in ""defines.h"", and must not be# changed.# Artifacts 1-15 are ""special"", 16-63 are ""armor"", and 64-127 are# ""weapons"".# Hack -- ""Grond"" and ""Morgoth"" MUST have a rarity of one, or they might# not be dropped when Morgoth is killed.  Note that they, like the# ""special""# artifacts, are never created ""accidentally"".# === Understanding a_info.txt ===# N: serial number : item name# I: tval : sval : pval# W: depth : rarity : weight : cost# P: size : base armor class : base damage : plus to-hit : plus to-dam : plus# to-ac# F: flag | flag |etc# 'N' indicates the beginning of an entry. The serial number must# increase for each new item and artifact activations depend on the# serial number.# 'I' is for basic information. The tval is for the type of item, the# sval identifies the subtype and the pval indicates the amount of# effect the item has, if applicable.# 'W' is for extra information. Depth is the depth the object is# normally found at, rarity determines how common the object is,# weight is in tenth-pounds and cost is the item's value.# 'P' is for power information. The items size, base armor class, its base# damage and pluses to-hit, to-dam and to-ac.# 0 size is variable.# 'F' is for flags. These are fairly self-explanatory. As many F:# lines may be used as are needed to specify all the flags and flags# are separated by the '|' symbol.# Version stamp (required)# The Phial of Galadriel# The Star of Elendil#J0# (コメント)#J0##J0# (都々目)#J0#＊a_info.txtを読ませて頂きましたが、『少しでも親しみがわくように日本語化や#J0#「王」などをいれたりとしてみました。』との事でしたが、それならこうすべきだ#J0#と思います(エレンディルは丈高きエレンディルと呼ばれた)。皆に付いている『王』#J0#と云う肩書きよりは親しみがわくと思います(笑)。#J0#"
2,丈高きエレンディルの,of Elendil,39,5,1,100,50,25,5,32500,0,0,0,0,1d1,0,0,0,0,ACTIVATE|INSTA_ART|SPEED,SEE_INVISIBLE|HOLD_LIFE,輝く『西方国の星』で、エレンディルの家系に伝わる家宝だ。銀の鎖に白い宝石がついている。,"The shining Star of the West, a famed heirloom of Elendil's house.",# The Arkenstone of Thrain -> JoJ# Was +2 WIS/DEX#JZ# アンバーシリーズに出てくる重要アイテム
3,審判の,of Judgement,39,6,3,100,70,90,5,150000,0,0,0,0,1d1,0,0,0,0,ACTIVATE|INSTA_ART|SPEED|WIS|INT,SEE_INVISIBLE|HOLD_LIFE|NO_CONF|RES_CHAO,金の鎖に取り付けられた、この宇宙の創世に深い関わりを持つ真紅の宝石。（R.ゼラズニイ、真世界アンバーシリーズ 3～10巻）,,"# The Amulet of Carlammas#J0# (コメント)#J0##J0#(小林)#J0# > > >The Amulet of Carlammas         カルランマス→カルラマス#J0# > > >'Belegennon'                    ベレゲンノン→ベレゲノン#J0# > > >'Holhenneth'                    ホルヘンネス→ホルヘネス#J0# > > >'Cammithrim'                    カンミスリム→カミスリム#J0# > > >'Paurnimmen'                    パウルニンメン→パウアニメン#J0# > #J0# > あとで，考え直してみたんだけど，-mm- や -nn- って，シンダリン語で#J0# > 重音になったか，単音になったか，ちょっと今自信がないです．ひょっと#J0# > したら「カルランマス」の方が原音に近いかも知れません．調べておきま#J0# > す．サウロンの別名""Annatar""は「アナタール」と読んだはずですが…．#J0# > ちなみに上の５つは物語中では見たことないです．#J0##J0# 調べてきました．重なってる子音はシンダリン語では重音になるようです．#J0# 「カルランマス」#J0# 「ベレゲンノン」#J0# 「ホルヘンネス」#J0# 「カンミスリム」#J0# 「パウアニンメン」#J0# でよいようでした．記憶していた資料が間違っていたようです．#J0# 失礼しました．#J0# # ってことはシルマリルリオンの翻訳者が間違えたのかなあ？#J0#"
4,カルランマスの,of Carlammas,40,10,2,100,50,30,3,60000,0,0,0,0,1d1,0,0,0,0,CON|HIDE_TYPE|ACTIVATE|INSTA_ART,RES_FIRE,ブロンズの燃えるような首飾りで、邪悪な者をかわして退散させる強力な呪文が込められている。,"A fiery circle of bronze, with mighty spells to ward off evil.",# The Amulet of Ingwe#J0# (コメント)#J0##J0# p.308#J0# (都々目)#J0#＊シルマリルの物語に従う。エレンディルと同じ理由です。#J0#
5,上級王イングウェの,of Ingwe,40,11,3,100,65,50,3,90000,0,0,0,0,1d1,0,0,0,0,WIS|CHR|INFRA|HIDE_TYPE|ACTIVATE|INSTA_ART,SEE_INVISIBLE|FREE_ACTION|RES_ACID|RES_COLD|RES_ELEC,ヴァラールの島に渡り中つ国に戻ることのなかったヴァンヤール族の上級王イングウェの家系伝来の家宝。イングウェに対抗できる邪悪なものはいなかった。,"The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing of evil could stand. ",# The Necklace of the Dwarves
6,ドワーフの,of the Dwarves,40,12,3,100,70,70,3,75000,0,0,0,0,1d1,0,0,0,0,STR|CON|INFRA|HIDE_TYPE|LITE|INSTA_ART,SEE_INVISIBLE|FREE_ACTION|REGENERATE,燦然と輝くシルマリルと、それを引き立たせるたくさんのヴァリノールの宝石で飾られた金の首飾りだ。山の中の鍛冶場で長い間鎚を打ってきた頑強なドワーフの職人魂がしっかりと宿っており、蜘蛛の糸のように身に付ける者にフィットする。,"The Nauglamir; a carencet of gold set with a multitude of shining gems of Valinor, accenting a radiant Silmaril.  The sturdy spirits of Dwarvish craftsmen who labored long in mountain smithies lie within it still, and as gossamer it rests upon the bearer.","# The Incandescent Light of Yeduson# Thomas Alva Yeduson the ""Wizard of Menlo Park""# patented 1,093 inventions.# inventor of the incandescent lightbulb# Default reward for The Dark Elven Lords Quest"
7,ヱヅソンの,of Yeduson,39,3,3,100,40,20,5,20000,0,0,0,0,1d1,0,0,0,0,INSTA_ART|INFRA,AURA_FIRE|AURA_ELEC,「非常に進んだ科学は魔術と見分けがつかない。」,"The Incandescent Light of Yeduson Thomas Alva Yeduson the ""Wizard of Menlo Park"" patented 1,093 inventions.  Inventor of the incandescent lightbulb.",# The Ring of Barahir -> Frakir#JZ#
8,《フラキア》という,'Frakir',45,32,1,100,50,40,2,75000,0,0,0,0,1d1,0,0,0,0,STR|INT|WIS|DEX|CON|CHR|STEALTH|HIDE_TYPE|ACTIVATE|SEARCH|INSTA_ART,WARNING|RES_POIS|SEE_INVISIBLE,混沌の王子マーリンがログルスから生み出した意思を持った腕輪だ。普段は目に見えないが脈動して危険を知らせてくれる。装備するものが命ずると形を変えて敵の首を締めることができる。（R.ゼラズニイ、真世界アンバーシリーズ 6～10巻）,,# The Ring of Tulkas#J0# (コメント)#J0##J0# p.343#J0# (都々目)#J0#＊シルマリルの物語より。エアレンディルの項と同じ理由です。#J0#
9,勇猛なるトゥルカスの,of Tulkas,45,33,4,100,70,90,2,175000,0,0,0,0,1d1,0,0,0,0,STR|DEX|CON|HIDE_TYPE|ACTIVATE|SPEED|INSTA_ART,,ヴァラールの中でも最も素早くかつ勇猛なトゥルカスの宝だ。,"The treasure of Tulkas, most fleet and wrathful of the Valar.",# The Ring of Power (Narya)
10,《ナルヤ》という,of Power (Narya),45,34,1,100,70,100,2,100000,0,0,0,0,1d1,10,10,0,0,STR|INT|WIS|DEX|CON|CHR|SPEED|HIDE_TYPE|ACTIVATE|FREE_ACT|INSTA_ART,SEE_INVISIBLE|SLOW_DIGEST|REGENERATE|SUSTAIN_STR|SUSTAIN_DEX|IM_FIRE|,炎のように輝くルビーがはめられた火の指輪で、エルフにより作られサウロンから隠された三つの力の指輪のうちの一つだ。,"The Ring of Fire, set with a ruby that glows like flame.  Narya is one of the three Rings of Power created by the Elves and hidden by them from Sauron.",#D:中つ国ではキアダンとガンダルフが所有していた。# The Ring of Power (Nenya)
