ID,TAG,NAME,UI_NAME,E_NAME,E_UI_NAME,SYMBOL,COLOR,SLOT,TVAL,SVAL,STR,INT,WIS,DEX,CON,CHA,SRH,STL,MMS,SPD,PVAL,DEPTH,WEIGHT,AP_RATE,COST,CHARGE,MIN_SIZE,MAX_SIZE,BASE_AC,BASE_EV,BASE_VO,BASE_DAMAGE,PLUS_HIT,PLUS_DAM,PLUS_AC,PLUS_EV,PLUS_VO,BOW_MUL,MIN_SIZE,MAX_SIZE,MIN_SIZE_PERMIT,MAX_SIZE_PERMIT,ADD_DEPTH_RARITY,FLAGS,DESCRIPTION,E_DESCRIPTION,COMMENT
0,0,何か,,something,,&,w,INVENTORY,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0d0,0,0,0,0,0,0,5,15,-2,2,0/1,,,,"# File: k_info.txt#JZ# Zangband 日本語訳: 板倉#JZ# 「#J0#」で始まるコメントは日本語板 Angband のしとしんさんによる#JZ# もので、「#JZ#」で始まるコメントは日本語版 Zangband で新たに#JZ# 加わった項目です。日本語アングバンド同様、私（板倉）以外の方の#JZ# コメントにはその方の名前を記載しています。#JZ##JZ# ＃＃＃ 以下は日本語版 Angband にあるコメントです ＃＃＃#J0# 日本語訳と日本語版製作 : しとしん#J0##J0# 日本語版ではオリジナルと比較して設定項目が一つ増えています。#J0# ""E:"" 以下の行がそうで、ここには英語名が記述されます。#J0##J0# アイテム名の翻訳にあたっては多くの方にたいへんお世話になりました。#J0##J0# (コメント)#J0##J0# 武器や防具にも色々と読み方があるようですが、基本的に ""name.doc"" の#J0# 執筆者である VOLKO さんの読み方に従いました。#J0##J0# 基本的に restore という単語には「復活」という訳をあてて、それ以外の回復系#J0# の単語には「回復」という訳をあてています。restore も「回復」でも良いのです#J0# が、restore をするアイテムは「元の状態に戻す」という効果があるので、それ#J0# を示唆する言葉として「復活」を選びました。#J0##J0# identify という単語は他の日本語版ローグライクでは「識別」という訳が使#J0# われている場合が多いのですが、identify の効果はアイテムの正確な名称や効#J0# 果を明らかにするものですので、「鑑定」の方が雰囲気が近いと考えてそうし#J0# ました。他のローグライクと異なってしまっていることは気になりますが。# This file is used to initialize the ""lib/raw/k_info.raw"" file, which is# used to initialize the ""object kind"" information for the Angband game.# Do not modify this file unless you know exactly what you are doing,# unless you wish to risk possible system crashes and broken savefiles.# After modifying this file, delete the ""lib/raw/k_info.raw"" file.# Available slots (?):#   29, 29, 90, 177, 178, 179, 182, 183, 195, 196, 205,#   268, 270, 293, 299, 350, 351, 399, 413, 414, 423-479# XXX XXX Add some ""IGNORE_XXX"" flags to Rings, Amulets, etc.# The old ""MULTI_HUED"" objects are now ""violet"", and no other object# is violet, so all six violet objects can be made ""multi-hued"", though# this would be a heinous hack.  XXX XXX# Note that object zero is used for the ""stack"" picture (unused).# === Understanding k_info.txt ===# N: serial number : & object name~# G: symbol : color# I: tval : sval : pval# W: depth : rarity : weight : cost# P: base armor class : base damage : plus to-hit : plus to-dam : plus to-ac# A: depth/rarity : depth/rarity : etc# F: flag | flag | etc# 'N' indicates the beginning of an entry. The serial number must# increase for each new item. The '&' and '~' symbols are use to# include articles and pluralization as necessary to ensure# grammatical correctness in object descriptions.# 'G' is for graphics - symbol and color. There are 16 colors, as# follows:# D - Black        w - White          s - Gray          o - Orange# r - Red          g - Green          b - Blue          u - Brown# d - Dark Gray    W - Light Gray     v - Violet        y - Yellow# R - Light Red    G - Light Green    B - Light Blue    U - Light Brown# 'I' is for basic information. The tval is for the type of item, the# sval identifies the subtype and the pval indicates the amount of# effect the item has, if applicable. # 'W' is for extra information. Depth is the depth the object is# normally found at, rarity determines how common the object is,# weight is in tenth-pounds and cost is the items value.# 'P' is for power information. The items base armor class, its base# damage and pluses to-hit, to-dam and to-ac.# 'A' is for allocation - depth and rarity, in pairs. This allows an# item to have multiple natural depths and rarities. It is used to# ensure that certain vital items such as food and identify scrolls# are found throughout the dungeon.# 'F' is for flags. These are fairly self-explanatory. As many F:# lines may be used as are needed to specify all the flags and flags# are separated by the '|' symbol.# Version stamp (required)##### Something special ########## Mushrooms #####"
1,1,盲目,青い,Blindness,Blue,",",b,INVENTORY,FOOD,1,0,0,0,0,0,0,0,0,0,0,500,5,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,5/1,EAT_BLIND,それは食べると盲目になる。,It blinds you when you eat it.,
2,2,恐怖,黒い,Paranoia,Black,",",D,INVENTORY,FOOD,2,0,0,0,0,0,0,0,0,0,0,500,5,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,5/1,,それは食べると恐怖する。,It scares you when you eat it.,
3,3,混乱,黒斑の,Confusion,Black Spotted,",",D,INVENTORY,FOOD,3,0,0,0,0,0,0,0,0,0,0,500,5,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,5/1,EAT_CONF,それは食べると混乱する。,It confuses you when you eat it.,
4,4,幻覚,茶色の,Hallucination,Brown,",",u,INVENTORY,FOOD,4,0,0,0,0,0,0,0,0,0,0,500,10,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,10/1,EAT_INSANITY,それは食べると幻覚に侵される。,It makes you hallucinate when you eat it.,
5,5,毒消し,群青の,Cure Poison,Dark Blue,",",b,INVENTORY,FOOD,12,0,0,0,0,0,0,0,0,0,0,500,10,0,100,60,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,10/1,REMOVE_POISON,それは食べると毒を癒す。,It cures poison when you eat it.,
6,6,盲目治癒,深緑の,Cure Blindness,Dark Green,",",g,INVENTORY,FOOD,13,0,0,0,0,0,0,0,0,0,0,500,10,0,100,50,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,10/1,,それは食べると盲目を癒す。,It cures blindness when you eat it.,
7,7,恐怖除去,紅色の,Cure Paranoia,Dark Red,",",r,INVENTORY,FOOD,14,0,0,0,0,0,0,0,0,0,0,500,10,0,100,25,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,10/1,,それは食べると恐怖を取り除く。,It removes fear when you eat it.,
8,8,混乱脱出,黄色い,Cure Confusion,Yellow,",",y,INVENTORY,FOOD,15,0,0,0,0,0,0,0,0,0,0,500,10,0,100,50,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,10/1,,それは食べると混乱から立ち直る。,It cures confusion when you eat it.,
9,9,脆弱,苔むした,Weakness,Furry,",",W,INVENTORY,FOOD,6,0,0,0,0,0,0,0,0,0,0,500,10,0,100,0,0,0,0,0,0,,5d5,0,0,0,0,0,0,5,15,-2,2,10/1,DEC_STR|FOOD_POISONING_6D6,それは食べると6d6のダメージを受け、腕力の現在値が下がる。,You take 6d6 damage and it decreases your strength when you eat it.,
