ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
0,STIGMATIC_ONE,烙印者,Stigmatic One,@,w,0,-1,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,0,1,0,0,0,0,0,0,200,NONE,NONE,-1,0,0,0,0,0,0,10,10,10,10,10,10,20,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,,,,STIGMATIC,,,,"J0#
D'ang#
＠さんに設定を与えてみた",,,,
1,URCHIN,浮浪児,Urchin,t,D,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,2,50,0,10,14,0,1,200,NONE,NONE,-1,0,4,1,0,0,40,8,6,6,7,6,4,5,136,10,260,4,130,10,220,4,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BEG
TOUCH:EAT_GOLD",,,WILD_TOWN|WILD_ONLY|RAND_25|FRIENDS|TAKE_ITEM|OPEN_DOOR|FORCE_LESSER[80%],,彼らは汚らしくて本当に頭に来る奴だ。,they look squalid and thoroughly revolting.,J0# D'and# エゴ名がつくために名称を縮めた。Urchin単体でもクソガキ位の意味はもつらしい。,,,,
2,2,やせこけた猫,Scrawny cat,f,U,0,-1,FELINE,FELINE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,0,3,50,0,5,62,0,1,200,NONE,NONE,-1,0,30,1,0,0,10,4,5,5,6,5,5,5,28,1,10,0,28,1,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CLAW:HURT:1d3,,,RAND_25|WILD_GRASS|WILD_TOWN|WILD_ONLY,,鋭い爪と哀れな容貌を持ったやせこけた小さなネコだ。,A skinny little furball with sharp claws and a menacing look. ,J0#,,,,
3,3,すずめ,Sparrow,B,U,0,-1,BIRD,BIRD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,0,3,50,0,0,0,0,1,200,NONE,NONE,-1,0,30,1,0,0,10,4,4,4,5,4,4,5,15,1,10,0,15,1,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d1,,,RAND_25|CAN_FLY|WILD_TOWN|WILD_ONLY,,"
怒らせなければ全く無害だ。","Utterly harmless, except when angry.",JZ#,,,,
4,4,ズアオアトリ,Chaffinch,B,r,0,-1,BIRD,BIRD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,0,3,50,0,0,0,0,1,200,NONE,NONE,-1,0,30,1,0,0,10,4,4,4,5,4,4,5,16,1,10,0,16,1,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,RAND_25|CAN_FLY|WILD_ONLY|WILD_WOOD|WILD_GRASS,,頭青花鶏。怒らせなければ全く無害だ。,"Utterly harmless, except when angry.","JZ#(コメント)
訳は 紫月閑丸さん",,,,
5,5,野うさぎ,Wild rabbit,r,U,0,-1,RODENT,RODENT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,0,3,50,0,200,205,0,1,200,NONE,NONE,-1,0,30,1,0,0,10,3,4,4,4,4,5,5,40,1,10,0,40,1,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,RAND_50|WILD_ONLY|WILD_GRASS|WILD_WOOD,,肉食ではないが、近付き過ぎると身を守るため攻撃してくる。,"It is not a carnivore, but will defend itself if you stray too close. ",JZ#,,,,
6,6,きこり,Woodsman,p,g,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,18,100,83,0,1,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,WILD_ONLY|WILD_WOOD|RAND_25|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,鋭く頑丈な斧を持っている。,He has an axe with a sharp and strong edge. ,JZ#,,,,
7,7,みすぼらしい子犬,Scruffy little dog,C,U,0,-1,CANINE,CANINE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,0,3,50,0,6,35,0,1,200,NONE,NONE,-1,0,20,1,0,0,5,5,5,4,4,4,4,5,45,2,30,0,45,2,30,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,RAND_25|WILD_TOWN|WILD_ONLY,,ノミの住みかのようなやせた犬で、人が近づくとうなる。,"A thin flea-ridden mutt, growling as you get close. ",J0#,,,,
8,8,農夫『マゴット』,Farmer Maggot,h,w,0,-1,HOBBIT,HOBBIT,0x02,SOLDIER,NONE,PIOUS,NONE,NONE,0,3,50,24,0,0,101,29,200,NONE,NONE,-1,0,40,10,0,0,3,12,9,8,12,12,11,5,92,0,210,0,92,0,210,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"MOAN
MOAN
HIT:HURT:1d5","53:1d1
54:1d1
55:1d1",ART:232:100%,UNIQUE|CAN_SPEAK|FRIENDLY|WILD_TOWN|WILD_ONLY|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP,,"　丸い赤ら顔のずんぐりしたホビットが、姿を現しました「マゴットじいさんがどうしたっていうんです？」と、ピピンがたずねました。「あのひとはブランディバック一族のだれとでも仲良くやってますよ。むろん、 黙ってじいさんの土地に入ってくるやつらには、ひどく怖い存在だし、獰猛な犬も 飼ってるけど---だけど、このあたりに住んでいれば,庄境にも近いし、よそより 用心してかからなきゃならないわけですよ。」（J.R.R.トールキン、瀬田貞二・田中明子訳 新版指輪物語）","Before you appears a broad thick-set hobbit with a round red face. ""What's wrong with old Maggot?"" asked Pippin. ""He's a good friend to  $all the Brandybucks. Of course he's a terror to trespassers, and keeps ferocious dogs -- but after all, folk down here are near the border and have to be more on their guard.""","J0#
J0#",,,,
9,9,泣きじゃくる白痴,Blubbering idiot,t,W,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,0,6,1,0,0,0,8,3,3,8,7,7,5,151,15,400,2,151,15,400,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,DROOL,,,WILD_TOWN|WILD_ONLY|RAND_25|EAT_LOSE_INT|TAKE_ITEM|FORCE_LESSER,,彼らはいつも泣いてばかりいる。,They tend to blubber a lot. ,J0#,,,,
